ID_all;SMILES;ID_Bocci;orig_ID_Bocci;yorig_Bocci;CAS_Bocci;NAME_Bocci;units_Bocci;smilessource_Bocci;SMILES_Bocci;desired_units_Bocci;y_Bocci;ID_Metrabase;orig_ID_Metrabase;yorig_Metrabase;CAS_Metrabase;NAME_Metrabase;units_Metrabase;smilessource_Metrabase;SMILES_Metrabase;desired_units_Metrabase;y_Metrabase;ID_Sedykh;orig_ID_Sedykh;yorig_Sedykh;CAS_Sedykh;NAME_Sedykh;units_Sedykh;smilessource_Sedykh;SMILES_Sedykh;desired_units_Sedykh;y_Sedykh;ID_Livertox;orig_ID_Livertox;yorig_Livertox;CAS_Livertox;NAME_Livertox;units_Livertox;smilessource_Livertox;SMILES_Livertox;desired_units_Livertox;y_Livertox;comparison_Bocci_Metrabase;onlyequal_Bocci_Metrabase;comparison_Bocci_Sedykh;onlyequal_Bocci_Sedykh;comparison_Bocci_Livertox;onlyequal_Bocci_Livertox;comparison_Metrabase_Sedykh;onlyequal_Metrabase_Sedykh;comparison_Metrabase_Livertox;onlyequal_Metrabase_Livertox;comparison_Sedykh_Livertox;onlyequal_Sedykh_Livertox;y_Metrabase_nonambiguous;y_Bocci_nonambiguous;y_Sedykh_nonambiguous;y_Livertox_nonambiguous;y_consensus;valid/outlier
135;C[C@@H](Oc1ccc(CNC(=O)c2cccnc2Oc2ccc3c(c2)OCO3)c(F)c1)C(=O)O;136.0;;1.0;;CP-671305;classBCRPsub;SMILES;C[C@@H](Oc1ccc(CNC(=O)c2cccnc2Oc2ccc3c(c2)OCO3)c(F)c1)C(=O)O;classBCRPsub;1.0;347.0;mbcd0030025;1.0;;CP 671305;classBCRPsub;smiles;C[C@@H](Oc1ccc(CNC(=O)c2cccnc2Oc2ccc3c(c2)OCO3)c(F)c1)C(=O)O;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;;;1.0;valid
136;COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1;137.0;;1.0;;CP-724714;classBCRPsub;SMILES;COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;1297.0;1297.0;1.0;;mol_0410;classBCRPsub;SMILES;COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;1.0;1.0;;1.0;;1.0;1.0;valid
137;C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C;138.0;;0.0;;Cyclosporin A;classBCRPsub;SMILES;C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C;classBCRPsub;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;0.0;valid
138;O=C1C=Cc2n/c(=C3\N[C@@H](C(=O)O)CS3)sc2=C1;139.0;;1.0;;d-Luciferin;classBCRPsub;SMILES;O=C1C=Cc2n/c(=C3\N[C@@H](C(=O)O)CS3)sc2=C1;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;1.0;;;1.0;valid
139;O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12;140.0;;1.0;;Daidzein-7-O-glucoside;classBCRPsub;SMILES;O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;1.0;;;1.0;valid
140;CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1;141.0;;0.0;;Darunavir;classBCRPsub;SMILES;CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1;classBCRPsub;0.0;63.0;mbcd0002634;0.0;;Darunavir;classBCRPsub;smiles;CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1;classBCRPsub;0.0;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;;0.0;valid
141;Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1;142.0;;1.0;;Dasatinib;classBCRPsub;SMILES;Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1;classBCRPsub;1.0;130.0;mbcd0001547;1.0;;dasatinib;classBCRPsub;smiles;Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1;classBCRPsub;1.0;;;;;;;;;;;1223.0;1223.0;1.0;;mol_0244;classBCRPsub;SMILES;Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;valid
142;C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12;143.0;;1.0;;Dehydroepiandrosterone-3-sulfate;classBCRPsub;SMILES;C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12;classBCRPsub;1.0;359.0;mbcd0003070;1.0;;dehydroepiandrosterone sulfate;classBCRPsub;smiles;C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12;classBCRPsub;1.0;32.0;2555.0;1.0;651489.0;Dehydroepiandrosterone-3-sulfate;classBCRPsub;SMILES;C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12;classBCRPsub;1.0;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;valid
143;COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)cc2)ccc1O;144.0;;0.0;;Demethoxycurcumin;classBCRPsub;SMILES;COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)cc2)ccc1O;classBCRPsub;0.0;76.0;mbcd0029386;0.0;;Demethoxycurcumin;classBCRPsub;smiles;COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)cc2)ccc1O;classBCRPsub;0.0;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;;0.0;valid
144;C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C;145.0;;1.0;;Deoxycholic Acid;classBCRPsub;SMILES;C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C;classBCRPsub;1.0;34.0;mbcd0001655;1.0;;Deoxycholic Acid;classBCRPsub;smiles;C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;;;1.0;valid
145;C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;146.0;;0.0;;Dexamethasone;classBCRPsub;SMILES;C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;classBCRPsub;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;0.0;valid
146;O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl;147.0;;1.0;;Diclofenac;classBCRPsub;SMILES;O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl;classBCRPsub;1.0;20.0;mbcd0003113;1.0;;Diclofenac;classBCRPsub;smiles;O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl;classBCRPsub;1.0;;;;;;;;;;;1224.0;1224.0;1.0;;mol_0279;classBCRPsub;SMILES;O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;valid
147;O=c1nc[nH]c2c1ncn2[C@H]1CC[C@@H](CO)O1;148.0;;0.0;;Didanosine;classBCRPsub;SMILES;O=c1nc[nH]c2c1ncn2[C@H]1CC[C@@H](CO)O1;classBCRPsub;0.0;64.0;mbcd0029982;0.0;;Didanosine;classBCRPsub;smiles;O=c1nc[nH]c2c1ncn2[C@H]1CC[C@@H](CO)O1;classBCRPsub;0.0;150.0;2854.0;0.0;69655056.0;Didanosine;classBCRPsub;SMILES;O=c1nc[nH]c2c1ncn2[C@H]1CC[C@@H](CO)O1;classBCRPsub;0.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;valid
148;CC[C@@]1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(F)c(F)cc3nc2-1;149.0;;1.0;;Diflomotecan;classBCRPsub;SMILES;CC[C@@]1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(F)c(F)cc3nc2-1;classBCRPsub;1.0;191.0;mbcd0029877;1.0;;BN-80915;classBCRPsub;smiles;CC[C@@]1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(F)c(F)cc3nc2-1;classBCRPsub;1.0;33.0;2562.0;1.0;220997977.0;Diflomotecan;classBCRPsub;SMILES;CC[C@@]1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(F)c(F)cc3nc2-1;classBCRPsub;1.0;1245.0;1245.0;1.0;;mol_0350;classBCRPsub;SMILES;CC[C@@]1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(F)c(F)cc3nc2-1;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;valid
149;C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O;150.0;;0.0;;Digoxin;classBCRPsub;SMILES;C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O;classBCRPsub;0.0;169.0;mbcd0001050;0.0;;Digoxin;classBCRPsub;smiles;C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O;classBCRPsub;0.0;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;;0.0;valid
150;COCCN(C(=O)CCl)c1c(C)cccc1C;151.0;;0.0;;Dimethachlor;classBCRPsub;SMILES;COCCN(C(=O)CCl)c1c(C)cccc1C;classBCRPsub;0.0;8.0;mbcd0029409;0.0;;Dimethachlor;classBCRPsub;smiles;COCCN(C(=O)CCl)c1c(C)cccc1C;classBCRPsub;0.0;;;;;;;;;;;1198.0;1198.0;0.0;;mol_0087;classBCRPsub;SMILES;COCCN(C(=O)CCl)c1c(C)cccc1C;classBCRPsub;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;valid
151;Cc1nn(Cc2ccc(C(=O)N3CCC(NC(=O)Nc4ccccc4)CC3)cc2)c(C)c1[N+](=O)[O-];152.0;;0.0;;Dimethyl benzoylphenylurea;classBCRPsub;SMILES;Cc1nn(Cc2ccc(C(=O)N3CCC(NC(=O)Nc4ccccc4)CC3)cc2)c(C)c1[N+](=O)[O-];classBCRPsub;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;0.0;valid
152;OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1;153.0;;1.0;;Dipyridamole;classBCRPsub;SMILES;OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1;classBCRPsub;1.0;268.0;mbcd0003100;1.0;;Dipyridamole;classBCRPsub;smiles;OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1;classBCRPsub;1.0;;;;;;;;;;;1470.0;1470.0;1.0;;mol_0277;classBCRPsub;SMILES;OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;valid
153;CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C;154.0;;1.0;;Docetaxel;classBCRPsub;SMILES;CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C;classBCRPsub;1.0;348.0;mbcd0027726;1.0;;Docetaxel;classBCRPsub;smiles;CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;;;1.0;valid
154;C=C1C[C@H]2C=Nc3cc(OCCCCCOc4cc5c(cc4OC)C(=O)N4CC(=C)C[C@H]4C=N5)c(OC)cc3C(=O)N2C1;155.0;;1.0;;DRG-16;classBCRPsub;SMILES;C=C1C[C@H]2C=Nc3cc(OCCCCCOc4cc5c(cc4OC)C(=O)N4CC(=C)C[C@H]4C=N5)c(OC)cc3C(=O)N2C1;classBCRPsub;1.0;303.0;mbcd0030425;1.0;;DRG-16;classBCRPsub;smiles;C=C1C[C@H]2C=Nc3cc(OCCCCCOc4cc5c(cc4OC)C(=O)N4CC(=C)C[C@H]4C=N5)c(OC)cc3C(=O)N2C1;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;;;1.0;valid
155;COc1cc2c(cc1OCCCOc1cc3c(cc1OC)C(=O)N1CCC[C@H]1C=N3)N=C[C@@H]1CCCN1C2=O;156.0;;1.0;;DSB-120;classBCRPsub;SMILES;COc1cc2c(cc1OCCCOc1cc3c(cc1OC)C(=O)N1CCC[C@H]1C=N3)N=C[C@@H]1CCCN1C2=O;classBCRPsub;1.0;343.0;mbcd0030424;1.0;;DSB-120;classBCRPsub;smiles;COc1cc2c(cc1OCCCOc1cc3c(cc1OC)C(=O)N1CCC[C@H]1C=N3)N=C[C@@H]1CCCN1C2=O;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;;;1.0;valid
156;CNc1nc2c(Cc3cccnc3)c(C)c(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c(C)c2s1;157.0;;1.0;;E3040 glucuronide;classBCRPsub;SMILES;CNc1nc2c(Cc3cccnc3)c(C)c(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c(C)c2s1;classBCRPsub;1.0;419.0;mbcd0000369;1.0;;E3040 glucuronide;classBCRPsub;smiles;CNc1nc2c(Cc3cccnc3)c(C)c(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c(C)c2s1;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;;;1.0;valid
157;CC1=NN(c2ccccc2)C(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C1;158.0;;0.0;;Edaravone glucuronide;classBCRPsub;SMILES;CC1=NN(c2ccccc2)C(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C1;classBCRPsub;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;0.0;valid
158;CC1=NN(c2ccccc2)[C@@H](OS(=O)(=O)O)C1;159.0;;1.0;;Edaravone sulfate;classBCRPsub;SMILES;CC1=NN(c2ccccc2)[C@@H](OS(=O)(=O)O)C1;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;1.0;;;1.0;valid
159;COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2;160.0;;0.0;;Elacridar;classBCRPsub;SMILES;COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2;classBCRPsub;0.0;283.0;mbcd0001808;0.0;;Elacridar;classBCRPsub;smiles;COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2;classBCRPsub;0.0;;;;;;;;;;;1279.0;1279.0;0.0;;mol_0031;classBCRPsub;SMILES;COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2;classBCRPsub;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;valid
160;CC=C1C[C@H]2C=Nc3cc(OCCCCCOc4cc5c(cc4OC)C(=O)N4CC(=CC)C[C@H]4C=N5)c(OC)cc3C(=O)N2C1;161.0;;1.0;;ELB-21;classBCRPsub;SMILES;CC=C1C[C@H]2C=Nc3cc(OCCCCCOc4cc5c(cc4OC)C(=O)N4CC(=CC)C[C@H]4C=N5)c(OC)cc3C(=O)N2C1;classBCRPsub;1.0;249.0;mbcd0030426;1.0;;ELB-21;classBCRPsub;smiles;CC=C1C[C@H]2C=Nc3cc(OCCCCCOc4cc5c(cc4OC)C(=O)N4CC(=CC)C[C@H]4C=N5)c(OC)cc3C(=O)N2C1;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;;;1.0;valid
161;Cc1ccc(-n2[nH]c(C)c(N/N=C3\C=CC=C(c4cccc(C(=O)O)c4)C3=O)c2=O)cc1C;162.0;;1.0;;Eltrombopag;classBCRPsub;SMILES;Cc1ccc(-n2[nH]c(C)c(N/N=C3\C=CC=C(c4cccc(C(=O)O)c4)C3=O)c2=O)cc1C;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;1.0;;;1.0;valid
162;Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F;163.0;;0.0;;Emtricitabine;classBCRPsub;SMILES;Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F;classBCRPsub;0.0;24.0;mbcd0003029;0.0;;Emtricitabine;classBCRPsub;smiles;Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F;classBCRPsub;0.0;148.0;2852.0;0.0;143491570.0;Emtricitabine;classBCRPsub;SMILES;Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F;classBCRPsub;0.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;valid
163;CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1;164.0;;1.0;;Enrofloxacin;classBCRPsub;SMILES;CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1;classBCRPsub;1.0;211.0;mbcd0030239;1.0;;Enrofloxacin;classBCRPsub;smiles;CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1;classBCRPsub;1.0;;;;;;;;;;;1241.0;1241.0;1.0;;mol_0444;classBCRPsub;SMILES;CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;valid
164;C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;165.0;;1.0;;Erlotinib;classBCRPsub;SMILES;C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;classBCRPsub;1.0;391.0;mbcd0003099;1.0;;erlotinib;classBCRPsub;smiles;C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;classBCRPsub;1.0;;;;;;;;;;;1296.0;1296.0;1.0;;mol_0276;classBCRPsub;SMILES;C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;valid
165;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O;166.0;;1.0;;Erythromycin;classBCRPsub;SMILES;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O;classBCRPsub;1.0;84.0;mbcd0000937;1.0;;Erythromycin;classBCRPsub;smiles;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;;;1.0;valid
166;C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O;167.0;;1.0;;Estradiol-17beta-D-glucuronide;classBCRPsub;SMILES;C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O;classBCRPsub;1.0;51.0;mbcd0000387;1.0;;17beta-estradiol 17beta-D-glucuronide;classBCRPsub;smiles;C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;;;1.0;valid
167;C[C@@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@@H]3[C@@H]1CC[C@@H]2O;168.0;;1.0;;Estradiol-3-sulfate;classBCRPsub;SMILES;C[C@@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@@H]3[C@@H]1CC[C@@H]2O;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;1.0;;;1.0;valid
168;C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O;169.0;;0.0;;Estrone;classBCRPsub;SMILES;C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O;classBCRPsub;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;0.0;valid
